Document_No,Line_No,Item Code,Description,Quantity (Clean),Unit_Price,Line_Discount_Percent,Line_Amount,Net_Amount_Excl_VAT,Posting_Date,Total_Amount_Excl_VAT,Total_VAT_Amount,Total_Amount_Incl_VAT,GST (%),Exchange rate,Sales_Channel,Returns_Refunds,Promo_Flag,Customer_ID
DOC001818,1,CAM-MN-FM-135G,Fancy Mixed Nuts,3,5.09,15,15.27,12.98,2023-12-20,12.98,0.91,13.89,7%,1.0,Shopee,0,Y,CUST0149
DOC001819,1,CAM-C-H-1KG,Honey Cashews 1kg,2,26.74,1,53.48,52.95,2023-09-10,52.95,3.71,56.66,7%,1.0,Shopify,0,N,CUST0138
DOC001820,1,CAM-C-H-1KG,Honey Cashews 1kg,12,25.7,13,308.4,268.31,2023-10-07,268.31,18.78,287.09,7%,1.0,Shopee,0,Y,CUST0162
DOC001821,1,CAM-MN-FM-135G,Fancy Mixed Nuts,2,5.31,1,10.62,10.51,2023-11-09,10.51,0.74,11.25,7%,1.0,Shopify,0,N,CUST0162
DOC001822,1,CAM-NB-WB-350G,Camel Organic Walnut Butter,1,9.74,15,9.74,8.28,2023-08-20,8.28,0.58,8.86,7%,1.0,Shopee,1,Y,CUST0059
DOC001823,1,CAM-A-H-135G,Honey Almonds,7,5.69,3,39.83,38.64,2023-07-11,38.64,2.7,41.34,7%,1.0,Shopify,0,N,CUST0067
DOC001824,1,CAM-DF&-M-200G,Dried Mango,2,5.03,10,10.06,9.05,2024-02-08,9.05,0.63,9.68,7%,1.0,Lazada,0,Y,CUST0095
DOC001825,1,CAM-C-R-1KG,Roasted Cashews 1kg,2,24.46,11,48.92,43.54,2024-01-15,43.54,3.05,46.59,7%,1.0,Shopee,0,Y,CUST0087
DOC001826,1,CAM-A-H-36G,Honey Almonds Mini 36g,3,1.58,0,4.74,4.74,2024-12-02,4.74,0.33,5.07,7%,1.0,Shopify,0,N,CUST0128
DOC001827,1,CAM-A-NB-135G,Natural Baked Almonds,1,4.74,12,4.74,4.17,2023-01-02,4.17,0.29,4.46,7%,1.0,Shopee,0,Y,CUST0050
DOC001828,1,CAM-A-H-36G,Honey Almonds Mini 36g,7,1.52,3,10.64,10.32,2023-08-20,10.32,0.72,11.04,7%,1.0,Shopify,0,N,CUST0138
DOC001829,1,CAM-BG&-BB-135G,Broad Beans (Fava) Original,5,2.13,6,10.65,10.01,2023-08-17,10.01,0.7,10.71,7%,1.0,Lazada,0,N,CUST0095
DOC001830,1,CAM-A-H-36G,Honey Almonds Mini 36g,4,1.55,2,6.2,6.08,2024-04-07,6.08,0.43,6.51,7%,1.0,Shopify,0,N,CUST0026
DOC001831,1,CAM-MN-RM-135G,Natural Baked Ruby Mix,3,4.94,12,14.82,13.04,2024-01-09,13.04,0.91,13.95,7%,1.0,Shopify,0,Y,CUST0187
DOC001832,1,CAM-P-R-135G,Roasted Peanuts,2,1.54,14,3.08,2.65,2024-09-27,2.65,0.19,2.84,7%,1.0,Shopee,0,Y,CUST0019
DOC001833,1,CAM-A-H-135G,Honey Almonds,7,4.69,13,32.83,28.56,2023-11-20,28.56,2.0,30.56,7%,1.0,Lazada,0,Y,CUST0008
DOC001834,1,CAM-C-S-135G,Satay Cashews,4,5.12,9,20.48,18.64,2024-04-08,18.64,1.3,19.94,7%,1.0,Lazada,0,N,CUST0017
DOC001835,1,CAM-C-S-1KG,Satay Cashews 1kg,3,27.25,12,81.75,71.94,2024-05-14,71.94,5.04,76.98,7%,1.0,Shopee,0,Y,CUST0112
DOC001836,1,CAM-MN-FM-135G,Fancy Mixed Nuts,3,4.93,12,14.79,13.02,2024-12-21,13.02,0.91,13.93,7%,1.0,Shopee,0,Y,CUST0037
DOC001837,1,CAM-C-H-1KG,Honey Cashews 1kg,1,29.09,13,29.09,25.31,2023-03-03,25.31,1.77,27.08,7%,1.0,Shopee,0,Y,CUST0044
DOC001838,1,CAM-A-S-135G,Smoked Almonds,3,5.66,7,16.98,15.79,2024-06-27,15.79,1.11,16.9,7%,1.0,Lazada,0,N,CUST0169
DOC001839,1,CAM-C-NB-1KG,Natural Baked Cashews 1kg,2,25.26,5,50.52,47.99,2023-01-30,47.99,3.36,51.35,7%,1.0,Shopify,0,N,CUST0070
DOC001840,1,CAM-A-H-135G,Honey Almonds,2,5.36,5,10.72,10.18,2024-02-25,10.18,0.71,10.89,7%,1.0,Lazada,0,N,CUST0168
DOC001841,1,CAM-C-R-1KG,Roasted Cashews 1kg,4,27.35,10,109.4,98.46,2023-02-19,98.46,6.89,105.35,7%,1.0,Shopee,1,Y,CUST0096
DOC001842,1,CAM-A-H-135G,Honey Almonds,1,5.64,13,5.64,4.91,2023-01-29,4.91,0.34,5.25,7%,1.0,Shopify,0,Y,CUST0171
DOC001843,1,CAM-A-H-36G,Honey Almonds Mini 36g,2,1.39,14,2.78,2.39,2024-02-23,2.39,0.17,2.56,7%,1.0,Shopee,0,Y,CUST0010
DOC001844,1,CAM-C-NB-1KG,Natural Baked Cashews 1kg,1,29.59,13,29.59,25.74,2024-10-11,25.74,1.8,27.54,7%,1.0,Shopee,1,Y,CUST0075
DOC001845,1,CAM-A-H-36G,Honey Almonds Mini 36g,4,1.51,4,6.04,5.8,2023-03-10,5.8,0.41,6.21,7%,1.0,Shopify,0,N,CUST0188
DOC001846,1,CAM-C-NB-135G,Natural Baked Cashews,2,4.69,10,9.38,8.44,2024-07-03,8.44,0.59,9.03,7%,1.0,Lazada,0,Y,CUST0006
DOC001847,1,CAM-C-R-1KG,Roasted Cashews 1kg,4,27.97,10,111.88,100.69,2023-09-09,100.69,7.05,107.74,7%,1.0,Shopee,0,Y,CUST0120
DOC001848,1,CAM-A-H-135G,Honey Almonds,4,4.72,9,18.88,17.18,2023-03-28,17.18,1.2,18.38,7%,1.0,Lazada,0,N,CUST0191
DOC001849,1,CAM-MN-RM-135G,Natural Baked Ruby Mix,1,5.06,14,5.06,4.35,2024-11-22,4.35,0.3,4.65,7%,1.0,Shopee,0,Y,CUST0185
DOC001850,1,CAM-MN-RM-135G,Natural Baked Ruby Mix,3,5.65,14,16.95,14.58,2023-12-14,14.58,1.02,15.6,7%,1.0,Shopee,0,Y,CUST0148
DOC001851,1,CAM-C-R-1KG,Roasted Cashews 1kg,1,25.28,12,25.28,22.25,2024-04-23,22.25,1.56,23.81,7%,1.0,Shopee,0,Y,CUST0170
DOC001852,1,CAM-MN-BD-135G,Natural Nutty Berries Delight,4,5.87,15,23.48,19.96,2024-02-22,19.96,1.4,21.36,7%,1.0,Shopee,0,Y,CUST0168
DOC001853,1,CAM-P-S-135G,Shandong Groundnuts,2,1.8,7,3.6,3.35,2024-02-03,3.35,0.23,3.58,7%,1.0,Lazada,0,N,CUST0125
DOC001854,1,CAM-A-H-36G,Honey Almonds Mini 36g,4,1.38,10,5.52,4.97,2023-04-22,4.97,0.35,5.32,7%,1.0,Shopee,0,Y,CUST0127
DOC001855,1,CAM-MN-CM-135G,Natural Cocktail Mix,5,5.45,13,27.25,23.71,2023-11-25,23.71,1.66,25.37,7%,1.0,Shopee,0,Y,CUST0081
DOC001856,1,CAM-A-NB-135G,Natural Baked Almonds,2,4.9,13,9.8,8.53,2024-08-31,8.53,0.6,9.13,7%,1.0,Shopee,0,Y,CUST0119
DOC001857,1,CAM-C-R-1KG,Roasted Cashews 1kg,3,26.31,10,78.93,71.04,2023-07-20,71.04,4.97,76.01,7%,1.0,Lazada,0,Y,CUST0141
DOC001858,1,CAM-A-H-135G,Honey Almonds,2,4.68,7,9.36,8.7,2023-02-08,8.7,0.61,9.31,7%,1.0,Shopify,0,N,CUST0140
DOC001859,1,CAM-DF&-M-200G,Dried Mango,6,5.33,1,31.98,31.66,2024-04-21,31.66,2.22,33.88,7%,1.0,Shopify,0,N,CUST0109
DOC001860,1,CAM-A-NB-36G,Natural Baked Almonds Mini 36g,8,1.52,4,12.16,11.67,2024-07-07,11.67,0.82,12.49,7%,1.0,Shopify,0,N,CUST0197
DOC001861,1,CAM-C-H-1KG,Honey Cashews 1kg,6,25.01,6,150.06,141.06,2024-09-25,141.06,9.87,150.93,7%,1.0,Lazada,0,N,CUST0042
DOC001862,1,CAM-A-H-36G,Honey Almonds Mini 36g,5,1.63,9,8.15,7.42,2024-02-24,7.42,0.52,7.94,7%,1.0,Shopify,0,N,CUST0080
DOC001863,1,CAM-P-S-135G,Sugar Peanuts,8,1.65,5,13.2,12.54,2023-08-29,12.54,0.88,13.42,7%,1.0,Lazada,1,N,CUST0112
DOC001864,1,CAM-MN-BD-135G,Natural Nutty Berries Delight,2,5.57,8,11.14,10.25,2023-04-12,10.25,0.72,10.97,7%,1.0,Lazada,0,N,CUST0152
DOC001865,1,CAM-C-NB-1KG,Natural Baked Cashews 1kg,1,29.45,5,29.45,27.98,2023-09-05,27.98,1.96,29.94,7%,1.0,Shopify,0,N,CUST0173
DOC001866,1,CAM-A-H-36G,Honey Almonds Mini 36g,1,1.55,3,1.55,1.5,2023-01-01,1.5,0.11,1.61,7%,1.0,Shopify,0,N,CUST0176
DOC001867,1,CAM-A-H-36G,Honey Almonds Mini 36g,1,1.61,1,1.61,1.59,2023-07-13,1.59,0.11,1.7,7%,1.0,Shopify,0,N,CUST0128
DOC001868,1,CAM-NB-CB-350G,Camel Organic Cashew Butter,2,10.7,15,21.4,18.19,2023-12-23,18.19,1.27,19.46,7%,1.0,Shopee,0,Y,CUST0097
DOC001869,1,CAM-A-H-135G,Honey Almonds,2,5.51,10,11.02,9.92,2024-10-01,9.92,0.69,10.61,7%,1.0,Lazada,0,Y,CUST0081
DOC001870,1,CAM-C-NB-135G,Natural Baked Cashews,1,4.71,10,4.71,4.24,2023-07-19,4.24,0.3,4.54,7%,1.0,Lazada,0,Y,CUST0183
DOC001871,1,CAM-C-R-1KG,Roasted Cashews 1kg,11,28.31,14,311.41,267.81,2023-02-21,267.81,18.75,286.56,7%,1.0,Shopee,0,Y,CUST0032
DOC001872,1,CAM-A-H-36G,Honey Almonds Mini 36g,2,1.62,15,3.24,2.75,2023-09-09,2.75,0.19,2.94,7%,1.0,Shopee,0,Y,CUST0094
DOC001873,1,CAM-C-NB-135G,Natural Baked Cashews,1,5.2,1,5.2,5.15,2024-09-07,5.15,0.36,5.51,7%,1.0,Shopify,0,N,CUST0087
DOC001874,1,CAM-P-S-135G,Sugar Peanuts,1,1.48,11,1.48,1.32,2024-12-09,1.32,0.09,1.41,7%,1.0,Shopee,1,Y,CUST0092
DOC001875,1,CAM-A-H-36G,Honey Almonds Mini 36g,1,1.58,7,1.58,1.47,2023-02-04,1.47,0.1,1.57,7%,1.0,Lazada,0,N,CUST0020
DOC001876,1,CAM-NB-CB-350G,Camel Organic Cashew Butter,4,10.01,14,40.04,34.43,2024-08-15,34.43,2.41,36.84,7%,1.0,Shopee,0,Y,CUST0040
DOC001877,1,CAM-MN-CM-135G,Natural Cocktail Mix,4,5.37,7,21.48,19.98,2023-12-14,19.98,1.4,21.38,7%,1.0,Lazada,0,N,CUST0191
DOC001878,1,CAM-A-H-135G,Honey Almonds,1,4.93,9,4.93,4.49,2023-12-13,4.49,0.31,4.8,7%,1.0,Lazada,0,N,CUST0055
DOC001879,1,CAM-A-H-135G,Honey Almonds,3,5.66,10,16.98,15.28,2024-01-06,15.28,1.07,16.35,7%,1.0,Shopee,0,Y,CUST0182
DOC001880,1,CAM-C-R-1KG,Roasted Cashews 1kg,2,28.14,2,56.28,55.15,2024-07-16,55.15,3.86,59.01,7%,1.0,Shopify,0,N,CUST0081
DOC001881,1,CAM-MN-CM-135G,Natural Cocktail Mix,5,5.21,13,26.05,22.66,2024-11-23,22.66,1.59,24.25,7%,1.0,Shopee,0,Y,CUST0138
DOC001882,1,CAM-A-H-36G,Honey Almonds Mini 36g,3,1.48,2,4.44,4.35,2023-03-01,4.35,0.3,4.65,7%,1.0,Shopify,0,N,CUST0132
DOC001883,1,CAM-DF&-M-200G,Dried Mango,2,5.27,8,10.54,9.7,2023-07-18,9.7,0.68,10.38,7%,1.0,Lazada,0,N,CUST0155
DOC001884,1,CAM-C-NB-1KG,Natural Baked Cashews 1kg,3,26.48,12,79.44,69.91,2024-05-02,69.91,4.89,74.8,7%,1.0,Shopee,0,Y,CUST0119
DOC001885,1,CAM-C-H-135G,Honey Cashews,1,5.41,9,5.41,4.92,2023-01-03,4.92,0.34,5.26,7%,1.0,Lazada,0,N,CUST0118
DOC001886,1,CAM-C-S-135G,Satay Cashews,7,5.17,5,36.19,34.38,2024-04-28,34.38,2.41,36.79,7%,1.0,Lazada,0,N,CUST0060
DOC001887,1,CAM-P-S-135G,Sugar Peanuts,8,1.72,10,13.76,12.38,2023-12-13,12.38,0.87,13.25,7%,1.0,Lazada,0,Y,CUST0079
DOC001888,1,CAM-MN-CM-135G,Natural Cocktail Mix,11,5.67,1,62.37,61.75,2023-12-09,61.75,4.32,66.07,7%,1.0,Shopify,0,N,CUST0060
DOC001889,1,CAM-C-R-135G,Roasted Cashews,2,5.4,15,10.8,9.18,2024-06-18,9.18,0.64,9.82,7%,1.0,Shopee,0,Y,CUST0086
DOC001890,1,CAM-C-NB-135G,Natural Baked Cashews,5,5.48,14,27.4,23.56,2023-10-27,23.56,1.65,25.21,7%,1.0,Shopee,0,Y,CUST0049
DOC001891,1,CAM-C-R-135G,Roasted Cashews,2,4.7,8,9.4,8.65,2023-03-09,8.65,0.61,9.26,7%,1.0,Lazada,0,N,CUST0183
DOC001892,1,CAM-P-B-400G,Baked Pistachios 400g,3,9.42,10,28.26,25.43,2024-03-22,25.43,1.78,27.21,7%,1.0,Shopee,1,Y,CUST0003
DOC001893,1,CAM-DF&-M-200G,Dried Mango,2,4.41,10,8.82,7.94,2024-08-14,7.94,0.56,8.5,7%,1.0,Lazada,0,Y,CUST0132
DOC001894,1,CAM-A-H-135G,Honey Almonds,1,5.52,13,5.52,4.8,2024-12-09,4.8,0.34,5.14,7%,1.0,Shopee,0,Y,CUST0068
DOC001895,1,CAM-BG&-BB-135G,Broad Beans (Fava) Original,3,2.24,7,6.72,6.25,2023-08-21,6.25,0.44,6.69,7%,1.0,Lazada,0,N,CUST0022
DOC001896,1,CAM-C-NB-135G,Natural Baked Cashews,5,5.0,4,25.0,24.0,2024-04-25,24.0,1.68,25.68,7%,1.0,Shopify,0,N,CUST0162
DOC001897,1,CAM-A-H-36G,Honey Almonds Mini 36g,3,1.46,5,4.38,4.16,2024-08-02,4.16,0.29,4.45,7%,1.0,Shopify,0,N,CUST0152
DOC001898,1,CAM-C-R-135G,Roasted Cashews,2,4.6,10,9.2,8.28,2023-12-13,8.28,0.58,8.86,7%,1.0,Shopify,0,Y,CUST0122
DOC001899,1,CAM-MN-CM-135G,Natural Cocktail Mix,4,5.5,15,22.0,18.7,2024-12-03,18.7,1.31,20.01,7%,1.0,Shopee,1,Y,CUST0156
DOC001900,1,CAM-C-NB-135G,Natural Baked Cashews,2,4.68,15,9.36,7.96,2024-07-24,7.96,0.56,8.52,7%,1.0,Shopee,0,Y,CUST0018
DOC001901,1,CAM-P-B-1KG,Baked Pistachios 1kg,8,29.69,10,237.52,213.77,2023-03-09,213.77,14.96,228.73,7%,1.0,Shopee,1,Y,CUST0071
DOC001902,1,CAM-C-NB-1KG,Natural Baked Cashews 1kg,1,24.61,5,24.61,23.38,2024-01-27,23.38,1.64,25.02,7%,1.0,Shopify,0,N,CUST0057
DOC001903,1,CAM-MN-CM-135G,Natural Cocktail Mix,3,4.91,12,14.73,12.96,2023-12-16,12.96,0.91,13.87,7%,1.0,Shopee,0,Y,CUST0183
DOC001904,1,CAM-C-H-1KG,Honey Cashews 1kg,5,29.32,1,146.6,145.13,2023-06-25,145.13,10.16,155.29,7%,1.0,Shopify,0,N,CUST0095
DOC001905,1,CAM-C-H-135G,Honey Cashews,2,5.5,1,11.0,10.89,2023-03-07,10.89,0.76,11.65,7%,1.0,Shopify,0,N,CUST0038
DOC001906,1,CAM-A-H-36G,Honey Almonds Mini 36g,9,1.51,6,13.59,12.77,2024-01-20,12.77,0.89,13.66,7%,1.0,Shopify,0,N,CUST0165
DOC001907,1,CAM-A-H-135G,Honey Almonds,4,5.36,5,21.44,20.37,2024-11-23,20.37,1.43,21.8,7%,1.0,Lazada,0,N,CUST0106
DOC001908,1,CAM-BG&-WP-135G,Green Peas Wasabi,1,2.41,13,2.41,2.1,2024-07-24,2.1,0.15,2.25,7%,1.0,Shopee,0,Y,CUST0169
DOC001909,1,CAM-A-BS-1KG,Almonds Blanched Sliced 1kg,5,20.78,3,103.9,100.78,2023-03-23,100.78,7.05,107.83,7%,1.0,Shopify,0,N,CUST0127
DOC001910,1,CAM-P-GS-135G,Garlic Shandong Groundnuts,3,1.99,7,5.97,5.55,2024-10-12,5.55,0.39,5.94,7%,1.0,Lazada,0,N,CUST0185
DOC001911,1,CAM-P-B-400G,Baked Pistachios 400g,3,9.78,6,29.34,27.58,2023-05-26,27.58,1.93,29.51,7%,1.0,Lazada,0,N,CUST0055
DOC001912,1,CAM-C-NB-1KG,Natural Baked Cashews 1kg,12,29.63,12,355.56,312.89,2024-09-14,312.89,21.9,334.79,7%,1.0,Shopee,0,Y,CUST0191
DOC001913,1,CAM-MN-RM-135G,Natural Baked Ruby Mix,9,5.74,3,51.66,50.11,2024-11-27,50.11,3.51,53.62,7%,1.0,Shopify,0,N,CUST0138
DOC001914,1,CAM-A-H-36G,Honey Almonds Mini 36g,4,1.38,6,5.52,5.19,2023-12-12,5.19,0.36,5.55,7%,1.0,Shopify,0,N,CUST0103
DOC001915,1,CAM-C-R-1KG,Roasted Cashews 1kg,1,27.3,7,27.3,25.39,2024-05-09,25.39,1.78,27.17,7%,1.0,Lazada,0,N,CUST0119
DOC001916,1,CAM-NB-AB-350G,Camel Organic Almond Butter,4,10.22,7,40.88,38.02,2023-12-22,38.02,2.66,40.68,7%,1.0,Lazada,0,N,CUST0046
DOC001917,1,CAM-MN-RM-135G,Natural Baked Ruby Mix,3,5.38,10,16.14,14.53,2023-11-28,14.53,1.02,15.55,7%,1.0,Shopee,0,Y,CUST0159
DOC001918,1,CAM-MN-CM-135G,Natural Cocktail Mix,4,5.65,6,22.6,21.24,2023-12-21,21.24,1.49,22.73,7%,1.0,Lazada,0,N,CUST0098
DOC001919,1,CAM-C-H-135G,Honey Cashews,3,5.02,12,15.06,13.25,2023-10-04,13.25,0.93,14.18,7%,1.0,Shopee,0,Y,CUST0128
DOC001920,1,CAM-A-H-135G,Honey Almonds,5,4.97,13,24.85,21.62,2023-10-31,21.62,1.51,23.13,7%,1.0,Shopee,0,Y,CUST0164
DOC001921,1,CAM-P-C-135G,Cracker Peanuts,4,1.6,13,6.4,5.57,2023-04-25,5.57,0.39,5.96,7%,1.0,Shopee,0,Y,CUST0182
DOC001922,1,CAM-C-R-1KG,Roasted Cashews 1kg,1,28.37,11,28.37,25.25,2024-03-17,25.25,1.77,27.02,7%,1.0,Shopee,0,Y,CUST0101
DOC001923,1,CAM-C-R-135G,Roasted Cashews,4,5.0,0,20.0,20.0,2024-12-20,20.0,1.4,21.4,7%,1.0,Shopify,0,N,CUST0179
DOC001924,1,CAM-NB-CB-350G,Camel Organic Cashew Butter,2,10.23,4,20.46,19.64,2023-04-03,19.64,1.37,21.01,7%,1.0,Shopify,0,N,CUST0198
DOC001925,1,CAM-C-NB-1KG,Natural Baked Cashews 1kg,2,26.99,14,53.98,46.42,2023-11-12,46.42,3.25,49.67,7%,1.0,Shopee,0,Y,CUST0126
DOC001926,1,CAM-C-R-135G,Roasted Cashews,1,4.64,13,4.64,4.04,2023-08-15,4.04,0.28,4.32,7%,1.0,Shopee,0,Y,CUST0064
DOC001927,1,CAM-C-NB-1KG,Natural Baked Cashews 1kg,3,27.45,5,82.35,78.23,2024-08-05,78.23,5.48,83.71,7%,1.0,Shopify,0,N,CUST0116
DOC001928,1,CAM-P-B-135G,Baked Pistachios,3,5.9,5,17.7,16.81,2023-10-26,16.81,1.18,17.99,7%,1.0,Shopify,0,N,CUST0051
DOC001929,1,CAM-NB-CB-350G,Camel Organic Cashew Butter,3,9.23,14,27.69,23.81,2023-01-02,23.81,1.67,25.48,7%,1.0,Lazada,0,Y,CUST0144
DOC001930,1,CAM-C-R-1KG,Roasted Cashews 1kg,2,29.6,10,59.2,53.28,2023-09-12,53.28,3.73,57.01,7%,1.0,Shopee,1,Y,CUST0058
DOC001931,1,CAM-MN-FM-135G,Fancy Mixed Nuts,3,5.11,12,15.33,13.49,2023-12-21,13.49,0.94,14.43,7%,1.0,Shopee,0,Y,CUST0034
DOC001932,1,CAM-P-B-1KG,Baked Pistachios 1kg,6,26.19,5,157.14,149.28,2023-03-29,149.28,10.45,159.73,7%,1.0,Shopify,0,N,CUST0112
DOC001933,1,CAM-C-R-135G,Roasted Cashews,2,4.69,13,9.38,8.16,2023-04-12,8.16,0.57,8.73,7%,1.0,Shopee,1,Y,CUST0090
DOC001934,1,CAM-C-H-135G,Honey Cashews,4,4.75,4,19.0,18.24,2023-03-17,18.24,1.28,19.52,7%,1.0,Shopify,0,N,CUST0146
DOC001935,1,CAM-C-H-1KG,Honey Cashews 1kg,4,29.05,11,116.2,103.42,2024-10-20,103.42,7.24,110.66,7%,1.0,Shopee,0,Y,CUST0124
DOC001936,1,CAM-C-H-1KG,Honey Cashews 1kg,1,25.62,9,25.62,23.31,2023-04-23,23.31,1.63,24.94,7%,1.0,Lazada,0,N,CUST0020
DOC001937,1,CAM-C-NB-1KG,Natural Baked Cashews 1kg,3,25.06,10,75.18,67.66,2024-01-05,67.66,4.74,72.4,7%,1.0,Shopee,0,Y,CUST0138
DOC001938,1,CAM-A-S-135G,Smoked Almonds,5,5.61,15,28.05,23.84,2023-10-21,23.84,1.67,25.51,7%,1.0,Shopee,0,Y,CUST0143
DOC001939,1,CAM-DF&-C-200G,Dried Cranberries,1,4.89,5,4.89,4.65,2024-12-25,4.65,0.33,4.98,7%,1.0,Shopify,0,N,CUST0165
DOC001940,1,CAM-A-NB-135G,Natural Baked Almonds,2,4.94,11,9.88,8.79,2024-05-19,8.79,0.62,9.41,7%,1.0,Shopee,0,Y,CUST0083
DOC001941,1,CAM-MN-FM-135G,Fancy Mixed Nuts,2,5.08,12,10.16,8.94,2023-12-23,8.94,0.63,9.57,7%,1.0,Shopee,0,Y,CUST0039
DOC001942,1,CAM-MN-CM-135G,Natural Cocktail Mix,4,4.98,13,19.92,17.33,2024-11-19,17.33,1.21,18.54,7%,1.0,Shopee,0,Y,CUST0124
DOC001943,1,CAM-C-NB-135G,Natural Baked Cashews,5,5.16,10,25.8,23.22,2023-06-28,23.22,1.63,24.85,7%,1.0,Shopee,0,Y,CUST0164
DOC001944,1,CAM-C-R-1KG,Roasted Cashews 1kg,2,25.18,15,50.36,42.81,2023-01-19,42.81,3.0,45.81,7%,1.0,Shopee,0,Y,CUST0170
DOC001945,1,CAM-MN-BD-135G,Natural Nutty Berries Delight,8,5.63,12,45.04,39.64,2023-08-05,39.64,2.77,42.41,7%,1.0,Shopee,0,Y,CUST0035
DOC001946,1,CAM-DF&-C-200G,Dried Cranberries,3,4.61,5,13.83,13.14,2024-01-22,13.14,0.92,14.06,7%,1.0,Lazada,0,N,CUST0109
DOC001947,1,CAM-MN-RM-135G,Natural Baked Ruby Mix,3,4.84,12,14.52,12.78,2024-12-16,12.78,0.89,13.67,7%,1.0,Shopee,0,Y,CUST0019
DOC001948,1,CAM-C-NB-135G,Natural Baked Cashews,1,5.25,7,5.25,4.88,2023-11-08,4.88,0.34,5.22,7%,1.0,Lazada,0,N,CUST0059
DOC001949,1,CAM-A-H-135G,Honey Almonds,4,4.88,8,19.52,17.96,2024-02-27,17.96,1.26,19.22,7%,1.0,Lazada,0,N,CUST0067
DOC001950,1,CAM-C-R-135G,Roasted Cashews,3,4.68,12,14.04,12.36,2024-01-20,12.36,0.87,13.23,7%,1.0,Shopee,0,Y,CUST0185
DOC001951,1,CAM-C-H-135G,Honey Cashews,5,5.71,12,28.55,25.12,2024-04-26,25.12,1.76,26.88,7%,1.0,Shopee,0,Y,CUST0122
DOC001952,1,CAM-MN-CM-135G,Natural Cocktail Mix,1,4.85,9,4.85,4.41,2023-12-10,4.41,0.31,4.72,7%,1.0,Lazada,0,N,CUST0109
DOC001953,1,CAM-C-NB-135G,Natural Baked Cashews,2,5.23,6,10.46,9.83,2023-08-08,9.83,0.69,10.52,7%,1.0,Lazada,0,N,CUST0153
DOC001954,1,CAM-C-NB-135G,Natural Baked Cashews,5,4.97,6,24.85,23.36,2024-01-16,23.36,1.64,25.0,7%,1.0,Lazada,0,N,CUST0049
DOC001955,1,CAM-MN-CM-135G,Natural Cocktail Mix,1,5.58,10,5.58,5.02,2023-11-19,5.02,0.35,5.37,7%,1.0,Shopee,0,Y,CUST0030
DOC001956,1,CAM-DF&-M-200G,Dried Mango,2,4.45,10,8.9,8.01,2023-01-19,8.01,0.56,8.57,7%,1.0,Lazada,0,Y,CUST0176
DOC001957,1,CAM-C-R-1KG,Roasted Cashews 1kg,3,24.56,12,73.68,64.84,2024-12-09,64.84,4.54,69.38,7%,1.0,Shopee,0,Y,CUST0070
DOC001958,1,CAM-MN-CM-135G,Natural Cocktail Mix,5,5.47,13,27.35,23.79,2024-12-23,23.79,1.67,25.46,7%,1.0,Lazada,0,Y,CUST0172
DOC001959,1,CAM-P-B-1KG,Baked Pistachios 1kg,1,28.23,0,28.23,28.23,2023-04-01,28.23,1.98,30.21,7%,1.0,Shopify,0,N,CUST0174
DOC001960,1,CAM-MN-BD-135G,Natural Nutty Berries Delight,5,5.52,14,27.6,23.74,2024-11-23,23.74,1.66,25.4,7%,1.0,Shopee,0,Y,CUST0006
DOC001961,1,CAM-NB-CB-350G,Camel Organic Cashew Butter,3,10.62,10,31.86,28.67,2024-09-11,28.67,2.01,30.68,7%,1.0,Lazada,0,Y,CUST0128
DOC001962,1,CAM-MN-CM-135G,Natural Cocktail Mix,2,4.89,12,9.78,8.61,2024-08-13,8.61,0.6,9.21,7%,1.0,Shopee,0,Y,CUST0054
DOC001963,1,CAM-NB-AB-350G,Camel Organic Almond Butter,3,10.52,0,31.56,31.56,2024-04-27,31.56,2.21,33.77,7%,1.0,Shopify,0,N,CUST0123
DOC001964,1,CAM-A-H-36G,Honey Almonds Mini 36g,1,1.36,13,1.36,1.18,2024-03-18,1.18,0.08,1.26,7%,1.0,Shopee,0,Y,CUST0185
DOC001965,1,CAM-NB-CB-350G,Camel Organic Cashew Butter,5,10.28,14,51.4,44.2,2024-02-11,44.2,3.09,47.29,7%,1.0,Shopee,1,Y,CUST0021
DOC001966,1,CAM-P-A-135G,Peanut Anchovies,3,1.8,11,5.4,4.81,2023-05-15,4.81,0.34,5.15,7%,1.0,Shopee,0,Y,CUST0088
DOC001967,1,CAM-C-H-1KG,Honey Cashews 1kg,3,29.19,3,87.57,84.94,2024-12-26,84.94,5.95,90.89,7%,1.0,Shopify,0,N,CUST0162
DOC001968,1,CAM-MN-RM-135G,Natural Baked Ruby Mix,3,5.63,14,16.89,14.53,2024-11-06,14.53,1.02,15.55,7%,1.0,Shopee,0,Y,CUST0182
DOC001969,1,CAM-C-NB-1KG,Natural Baked Cashews 1kg,6,25.47,10,152.82,137.54,2023-01-12,137.54,9.63,147.17,7%,1.0,Shopee,0,Y,CUST0108
DOC001970,1,CAM-MN-CM-135G,Natural Cocktail Mix,2,5.61,11,11.22,9.99,2024-12-22,9.99,0.7,10.69,7%,1.0,Shopee,1,Y,CUST0186
DOC001971,1,CAM-BG&-WP-135G,Green Peas Wasabi,4,2.27,15,9.08,7.72,2024-01-28,7.72,0.54,8.26,7%,1.0,Shopee,0,Y,CUST0080
